L	T	mean_abs_M	naive_se	block50_se	ratio	tau_int	n_effective
32	1.50000000	0.98627540	8.8640591e-05	0.00014268514	1.6097042	1.5927016	1569.66
32	1.60000000	0.97936052	0.00011803844	0.00023101625	1.9571272	1.800468	1388.5279
32	1.70000000	0.97048085	0.00014959714	0.00033428413	2.2345624	1.9882661	1257.377
32	1.80000000	0.95627853	0.00019740883	0.00040321058	2.0425154	2.8063823	890.82659
32	1.90000000	0.93899297	0.00025649903	0.00060774992	2.3694044	3.4692779	720.61105
32	2.00000000	0.91206828	8.3101956e-05	0.00028627063	3.4448122	7.0659947	7076.1446
32	2.05000000	0.89244473	0.0001092889	0.00065967543	6.0360697	14.543128	3438.0498
32	2.10000000	0.86923748	0.00014115311	0.0010148697	7.1898502	24.321844	2055.7652
32	2.15000000	0.83312971	0.00020652479	0.0016709769	8.0909267	46.242448	1081.2576
32	2.20000000	0.78562320	0.00028704018	0.0036095076	12.574921	86.09789	580.73433
32	2.25000000	0.69349035	0.00051082608	0.0095623654	18.719415	180.74027	276.64007
32	2.30000000	0.58394164	0.00062250805	0.0090359933	14.515464	122.31957	408.76533
32	2.35000000	0.42417488	0.00068899025	0.01077367	15.636898	139.37859	358.73515
32	2.40000000	0.32229217	0.00062096531	0.0095267513	15.341841	126.32555	395.80276
32	2.45000000	0.23797594	0.00050907992	0.0054931973	10.790442	51.397471	972.81051
32	2.50000000	0.21039554	0.00045800725	0.0036274306	7.9200289	41.847923	1194.8024
32	2.55000000	0.17027886	0.00038836931	0.0029301315	7.5447041	27.647205	1808.5011
32	2.60000000	0.15143716	0.00034659809	0.0028615264	8.2560362	23.15472	2159.387
32	2.70000000	0.11883671	0.0013029743	0.0058513904	4.4907948	13.05539	191.49179
32	2.80000000	0.10796171	0.0011219539	0.0046387374	4.1345168	8.4190875	296.94429
32	2.90000000	0.09733320	0.001002213	0.0034332685	3.4256875	6.6748857	374.53825
32	3.00000000	0.08898983	0.00092089297	0.0028415462	3.0856422	5.4978715	454.72143
32	3.10000000	0.07762772	0.00082321327	0.0023827434	2.8944424	4.5181965	553.31812
32	3.20000000	0.07353749	0.0007872942	0.0021650136	2.7499423	4.1249112	606.07365
32	3.30000000	0.06670273	0.00071890845	0.0017558508	2.4423845	3.0658914	815.42353
32	3.40000000	0.06325076	0.00068582444	0.0016385932	2.3892312	2.7187806	919.52988
32	3.50000000	0.06052890	0.00063062809	0.0012339286	1.956666	2.1504147	1162.5665
64	1.50000000	0.98646720	4.4201277e-05	8.4075986e-05	1.9021167	1.5793942	1582.8854
64	1.60000000	0.97954841	5.8886607e-05	0.00010944158	1.858514	1.9944975	1253.4485
64	1.70000000	0.97000390	7.5537175e-05	0.00015397547	2.0384066	2.0821874	1200.6604
64	1.80000000	0.95678722	9.6172923e-05	0.00023316387	2.4244232	2.7800948	899.24992
64	1.90000000	0.93881660	0.00012917813	0.00044010034	3.4069261	5.4230967	460.99123
64	2.00000000	0.91144828	4.3193062e-05	0.00016961787	3.9269703	8.9241856	5602.7522
64	2.05000000	0.89308873	5.3093301e-05	0.0002549442	4.8018149	12.534748	3988.9116
64	2.10000000	0.86936551	6.7860525e-05	0.00037987193	5.5978336	19.62231	2548.12
64	2.15000000	0.83533664	9.7879239e-05	0.00099049098	10.119521	52.828284	946.46269
64	2.20000000	0.78187269	0.00015970305	0.0025627251	16.046813	122.78215	407.22532
64	2.25000000	0.67107690	0.00039499371	0.011853711	30.009874	610.79732	81.860215
64	2.30000000	0.45811854	0.00057467178	0.018134081	31.555544	735.25913	68.003236
64	2.35000000	0.24617235	0.00051373965	0.011445971	22.279711	274.1584	182.37632
64	2.40000000	0.15816022	0.00036023608	0.0067996021	18.875406	207.16392	241.35477
64	2.45000000	0.12331538	0.00028355591	0.0030982771	10.926512	71.862088	695.77717
64	2.50000000	0.09788244	0.00022941084	0.0022852637	9.9614462	49.288785	1014.4296
64	2.55000000	0.08740290	0.0002061789	0.001729407	8.3878952	33.168778	1507.4417
64	2.60000000	0.07379741	0.00017470614	0.0013054726	7.472391	22.678965	2204.6861
64	2.70000000	0.06186944	0.00063846159	0.003264008	5.1123013	12.1945	205.01046
64	2.80000000	0.05252129	0.00057959089	0.0026412964	4.5571738	10.906252	229.22631
64	2.90000000	0.04318213	0.0004544932	0.0013676201	3.0091102	5.4282526	460.55336
64	3.00000000	0.04547851	0.00047371783	0.0015282593	3.2260961	7.0343393	355.39941
64	3.10000000	0.03812471	0.00040544292	0.0011779573	2.9053593	4.7168906	530.01018
64	3.20000000	0.03682842	0.00039797266	0.0012233646	3.0739914	5.1961406	481.12632
64	3.30000000	0.03511865	0.00036553861	0.00088671047	2.4257642	3.6883678	677.80659
64	3.40000000	0.03262217	0.00035418881	0.0010103067	2.8524524	3.8260285	653.41907
64	3.50000000	0.03170908	0.00033317019	0.00057655804	1.7305211	2.3984481	1042.3407
